Región,Comuna,CUT,"ELECCIÓN PRESIDENCIAL 2021, PRIMERA VUELTA",,,,,,,,,,,,,,"ELECCIÓN PRESIDENCIAL 2021, SEGUNDA VUELTA",,,,,,,,PRIMARIAS PRESIDENCIALES 2021,,,,,,,,,,,,,,,PLEBISCITO 2020,,,,PLEBISCITO 1988,,,
,,,Mesas escrutadas,Mesas totales,Padrón,Boric,Kast,Provoste,Sichel,Artés,MEO,Parisi,Válidos,Nulos,En blanco,Total,Mesas escrutadas,Mesas totales,Boric,Kast,Válidos,Nulos,En blanco,Total,Mesas instaladas,Mesas totales,Padrón,ChV,Lavín,Briones,Sichel,Desbordes,AD,Boric,Jadue,Válidos,Nulos,En blanco,Total,Apruebo,Rechazo,Nulos,En blanco,Sí,No,Nulos y en blanco,Notas
5,San Antonio,5601,232,232,78.647,11.916,6.985,5.075,3.455,1.032,4.312,5.905,38.680,324,138,39.142,232,232,32.363,13.640,46.003,323,97,46.423,77,77,76.954,4.231,1.318,285,2.114,514,10.698,5.441,5.257,14.929,241,16,15.186,38.969,4.939,98,34,14.768,26.789,1.075,
13,San Bernardo,13401,679,679,228.550,29.945,23.430,10.008,10.205,1.693,11.294,11.002,97.577,804,340,98.721,679,679,77.033,42.367,119.400,774,225,120.399,227,227,223.820,15.840,4.928,1.187,7.832,1.893,28.405,16.082,12.323,44.245,713,76,45.034,101.585,17.606,461,170,39.796,58.436,2.112,
16,San Carlos,16301,142,142,47.823,3.118,7.864,2.526,2.391,161,941,2.335,19.336,166,148,19.650,142,142,9.387,14.747,24.134,173,64,24.371,48,48,47.117,3.669,1.190,249,1.852,378,2.627,1.837,790,6.296,99,18,6.413,12.268,5.729,89,34,16.091,12.608,685,
7,San Clemente,7109,110,110,37.611,2.687,4.207,2.607,1.749,134,1.105,2.256,14.745,184,119,15.048,110,110,9.537,9.050,18.587,333,58,18.978,37,37,36.810,2.247,697,148,1.069,333,2.035,1.188,847,4.282,61,12,4.355,11.647,3.102,95,48,9.153,9.743,460,
5,San Esteban,5304,45,45,15.496,1.726,1.816,1.240,1.006,93,594,1.793,8.268,90,43,8.401,45,45,5.322,3.731,9.053,114,26,9.193,24,24,15.166,1.107,308,89,613,97,1.504,1.063,441,2.611,37,7,2.655,7.115,1.462,46,16,2.959,4.145,204,
16,San Fabián,16304,17,17,5.149,394,805,392,308,14,97,281,2.291,24,23,2.338,17,17,1.189,1.624,2.813,18,9,2.840,9,9,5.053,458,164,15,254,25,289,195,94,747,6,1,754,1.367,512,12,7,1.644,675,43,
5,San Felipe,5701,178,178,60.113,7.691,7.542,3.280,3.253,425,2.200,5.113,29.504,239,132,29.875,178,178,20.196,13.519,33.715,458,98,34.271,60,60,59.276,5.019,1.374,398,2.750,497,6.877,4.323,2.554,11.896,141,21,12.058,27.101,6.123,121,44,12.647,15.429,644,
6,San Fernando,6301,187,187,63.060,7.173,8.385,3.836,4.240,372,2.136,4.055,30.197,259,150,30.606,187,187,20.064,15.795,35.859,262,72,36.193,63,63,62.247,5.831,1.820,432,3.103,476,6.228,3.871,2.357,12.059,175,23,12.257,26.045,7.135,87,41,13.337,17.067,632,
12,San Gregorio,12104,2,2,715,52,95,5,32,0,27,33,244,2,3,249,2,2,136,127,263,1,1,265,1,1,884,32,4,3,19,6,33,23,10,65,0,1,66,130,74,0,1,215,97,2,
16,San Ignacio,16108,52,52,14.746,730,2.504,906,892,59,389,619,6.099,67,56,6.222,52,52,2.472,5.328,7.800,50,20,7.870,16,16,14.420,1.086,489,51,426,120,603,401,202,1.689,20,14,1.723,3.255,1.648,32,15,5.587,2.731,200,
7,San Javier,7406,117,117,39.506,2.718,5.319,2.501,2.086,135,979,2.139,15.877,121,119,16.117,117,117,9.327,11.102,20.429,140,40,20.609,41,41,38.735,3.279,975,215,1.624,465,2.491,1.702,789,5.770,105,16,5.891,11.301,4.022,66,38,12.717,10.036,572,
13,San Joaquín,13129,263,263,80.763,14.987,6.971,4.406,4.379,940,4.249,3.048,38.980,321,143,39.444,263,263,33.849,13.773,47.622,323,95,48.040,87,87,80.151,5.966,1.855,426,3.025,660,14.564,7.005,7.559,20.530,270,36,20.836,41.800,6.210,149,62,23.260,46.748,1.646,
13,San José de Maipo,13203,48,48,16.006,2.878,1.617,1.022,940,163,771,569,7.960,98,34,8.092,48,48,6.446,3.129,9.575,82,32,9.689,24,24,15.585,1.316,418,122,625,151,2.435,1.295,1.140,3.751,48,11,3.810,7.507,1.373,27,22,2.987,3.309,147,
10,San Juan de la Costa,10306,32,32,8.249,746,838,1.228,328,66,231,518,3.955,51,31,4.037,32,32,2.419,1.866,4.285,34,23,4.342,10,10,7.911,346,136,28,122,60,371,195,176,717,8,3,728,2.530,613,15,19,2.188,1.831,122,
13,San Miguel,13130,313,313,105.216,19.836,12.313,5.296,8.226,1.019,3.616,2.404,52.710,289,100,53.099,312,313,38.154,23.410,61.564,420,149,62.133,105,105,103.775,9.487,2.974,892,4.703,918,20.361,12.441,7.920,29.848,327,37,30.212,46.402,10.624,157,39,23.010,35.322,1.091,
16,San Nicolás,16305,36,36,11.810,785,1.849,906,640,47,403,691,5.321,59,52,5.432,36,36,2.597,3.874,6.471,54,23,6.548,19,19,11.505,948,359,65,431,93,653,424,229,1.601,19,4,1.624,3.334,1.352,34,21,2.669,1.929,102,
10,San Pablo,10307,31,31,10.152,757,1.566,1.168,454,55,254,544,4.798,52,33,4.883,31,31,2.710,2.837,5.547,31,17,5.595,11,11,9.806,732,239,35,385,73,440,250,190,1.172,16,2,1.190,2.941,1.111,26,13,2.907,2.696,140,
13,San Pedro,13505,25,25,8.577,671,1.332,541,483,34,195,312,3.568,36,28,3.632,25,25,1.989,2.622,4.611,30,11,4.652,13,13,8.315,604,268,51,230,55,496,313,183,1.100,11,5,1.116,2.374,629,16,10,2.333,1.864,159,
2,San Pedro de Atacama,2203,22,22,7.279,849,453,370,187,66,215,1.103,3.243,42,25,3.310,22,22,2.217,1.072,3.289,44,12,3.345,11,11,7.158,268,130,25,92,21,634,241,393,902,13,1,916,2.911,398,16,12,874,603,50,
8,San Pedro de la Paz,8108,270,270,91.391,9.865,14.414,4.764,6.603,489,2.926,7.277,46.338,277,139,46.754,270,270,27.126,27.422,54.548,528,177,55.253,90,90,88.291,10.060,2.517,1.121,5.532,890,11.111,8.177,2.934,21.171,264,32,21.467,36.103,13.305,159,65,,,,
7,San Rafael,7110,26,26,8.670,590,1.183,627,548,38,369,738,4.093,43,32,4.168,26,26,2.329,2.532,4.861,34,16,4.911,13,13,8.430,657,205,37,317,98,532,332,200,1.189,11,6,1.206,2.935,796,14,11,,,,
13,San Ramón,13131,251,251,80.041,10.640,6.372,4.060,3.470,805,4.745,3.597,33.689,308,165,34.162,251,251,30.052,13.143,43.195,282,122,43.599,84,84,75.508,5.139,1.710,307,2.498,624,9.711,4.766,4.945,14.850,240,36,15.126,38.971,5.951,227,98,19.460,38.387,1.472,
8,San Rosendo,8310,15,15,4.362,313,510,282,134,13,204,431,1.887,28,18,1.933,15,15,1.205,1.069,2.274,15,3,2.292,7,7,4.282,245,70,17,110,48,281,176,105,526,6,1,533,1.591,351,12,4,865,1.465,46,
6,San Vicente,6117,133,133,40.881,4.515,4.736,3.166,2.779,218,1.237,2.040,18.691,293,102,19.086,133,133,13.359,9.620,22.979,132,59,23.170,44,44,40.188,3.408,923,228,2.009,248,3.941,2.602,1.339,7.349,102,18,7.469,16.379,3.426,54,38,9.143,10.787,412,
8,Santa Bárbara,8311,39,39,13.350,645,2.082,670,583,47,225,865,5.117,46,38,5.201,39,39,2.266,4.135,6.401,37,15,6.453,13,13,13.079,884,306,47,394,137,504,358,146,1.388,20,2,1.410,3.257,1.350,30,21,7.128,1.927,290,Incluye Alto Biobío
6,Santa Cruz,6310,92,92,31.615,3.011,3.809,2.053,2.537,130,664,1.291,13.495,85,63,13.643,92,92,8.439,8.403,16.842,85,36,16.963,31,31,30.964,2.712,671,206,1.642,193,2.381,1.647,734,5.093,51,6,5.150,10.240,3.232,55,29,8.801,8.311,369,
8,Santa Juana,8109,39,39,13.026,886,2.155,638,424,71,341,807,5.322,55,39,5.416,39,39,2.558,4.283,6.841,50,23,6.914,20,20,12.688,767,242,96,356,73,736,482,254,1.503,25,4,1.532,3.541,1.532,45,24,4.993,2.119,249,
5,Santa María,5706,36,36,12.169,1.149,1.343,1.017,770,59,449,1.141,5.928,85,42,6.055,35,36,3.741,2.779,6.520,64,17,6.601,12,12,12.010,870,185,65,549,71,940,670,270,1.810,25,3,1.838,5.345,1.085,28,8,2.583,3.383,160,
13,Santiago,13101,1.049,1.049,339.067,53.470,34.443,12.576,18.641,3.062,7.131,5.746,135.069,912,400,136.381,1.049,1.049,95.465,61.733,157.198,1.061,507,158.766,344,344,336.966,24.557,8.657,2.705,10.777,2.418,52.308,29.764,22.544,76.865,816,95,77.776,119.139,30.128,413,184,71.501,87.849,2.574,
5,Santo Domingo,5606,35,35,11.869,1.281,3.000,828,1.333,58,395,503,7.398,46,22,7.466,35,35,3.484,4.832,8.316,74,19,8.409,18,18,11.535,2.561,945,258,1.192,166,1.303,932,371,3.864,35,4,3.903,4.003,2.583,22,15,1.976,1.647,128,
2,Sierra Gorda,2103,9,9,2.882,102,131,79,27,5,61,234,639,4,0,643,9,9,430,277,707,5,3,715,4,4,2.941,51,11,11,18,11,79,36,43,130,11,0,141,749,104,3,0,276,269,10,
13,Talagante,13601,173,173,58.940,8.298,8.109,3.668,3.722,460,2.996,3.808,31.061,278,147,31.486,173,173,21.906,14.792,36.698,273,104,37.075,58,58,57.514,6.062,1.850,568,3.076,568,8.789,5.179,3.610,14.851,227,36,15.114,27.786,6.577,114,53,11.550,11.053,543,
7,Talca,7101,532,532,181.299,22.153,25.368,11.031,12.867,929,5.817,13.421,91.586,689,276,92.551,532,532,58.413,48.626,107.039,761,236,108.036,177,177,176.566,17.267,4.523,1.404,8.988,2.352,18.941,11.720,7.221,36.208,462,61,36.731,74.989,21.587,240,108,32.857,57.272,1.520,Incluye parte de San Rafael
8,Talcahuano,8110,465,465,131.721,13.213,18.975,6.191,6.102,866,4.567,13.156,63.070,507,189,63.766,465,465,37.805,34.976,72.781,696,193,73.670,136,136,128.553,10.778,3.288,767,5.206,1.517,13.998,9.421,4.577,24.776,414,50,25.240,51.933,15.589,245,98,45.910,80.269,2.900,Incluye Hualpén
2,Taltal,2104,31,31,10.493,851,720,602,188,56,273,906,3.596,33,22,3.651,31,31,3.078,1.382,4.460,25,15,4.500,11,11,10.250,396,169,33,157,37,747,303,444,1.143,12,3,1.158,4.072,565,19,9,2.280,2.822,199,
9,Temuco,9101,904,904,238.028,23.413,47.023,12.020,14.178,1.216,6.777,15.090,119.717,934,369,121.020,904,904,58.784,76.698,135.482,1.154,339,136.975,238,238,232.107,26.142,7.050,2.077,14.220,2.795,22.481,15.576,6.905,48.623,605,92,49.320,78.332,38.159,360,169,56.479,68.972,2.656,Incluye Padre Las Casas
7,Teno,7308,73,73,25.073,1.684,3.127,1.228,1.377,105,779,1.436,9.736,103,80,9.919,73,73,5.779,6.465,12.244,90,40,12.374,25,25,24.628,1.625,490,135,825,175,1.459,993,466,3.084,53,5,3.142,8.028,2.258,49,30,6.882,5.611,269,
9,Teodoro Schmidt,9117,52,52,14.052,749,2.667,911,995,46,302,656,6.326,107,96,6.529,52,52,2.532,5.117,7.649,59,29,7.737,15,15,13.876,1.280,577,61,542,100,513,332,181,1.793,27,14,1.834,3.026,1.742,28,23,4.143,2.468,213,
3,Tierra Amarilla,3103,43,43,12.649,849,737,1.163,318,45,279,1.616,5.007,43,23,5.073,43,43,3.655,1.844,5.499,50,20,5.569,14,14,11.743,428,117,26,242,43,745,388,357,1.173,29,7,1.209,5.084,660,26,15,2.415,2.720,165,
13,Tiltil,13303,54,54,14.962,1.980,1.741,767,906,106,643,968,7.111,69,27,7.207,54,54,5.062,3.631,8.693,71,18,8.782,15,15,14.541,1.325,439,106,614,166,1.968,1.061,907,3.293,55,6,3.354,6.788,1.213,37,13,2.747,3.718,200,
12,Timaukel,12303,3,3,734,24,71,8,19,1,23,22,168,2,1,171,3,3,48,71,119,0,1,120,1,1,742,22,9,0,12,1,10,8,2,32,0,0,32,63,30,1,0,122,79,0,
8,Tirúa,8207,27,27,9.123,581,1.936,483,234,57,140,322,3.753,47,44,3.844,27,27,1.797,3.080,4.877,32,9,4.918,9,9,8.974,435,227,41,116,51,350,213,137,785,13,9,807,2.100,938,37,19,2.699,1.196,128,
2,Tocopilla,2301,69,69,22.196,1.507,1.188,923,477,105,651,3.445,8.296,77,34,8.407,69,69,6.152,2.662,8.814,90,13,8.917,23,23,21.877,727,316,57,298,56,1.371,614,757,2.098,40,7,2.145,9.211,1.023,37,17,5.750,8.770,528,
9,Toltén,9118,33,33,10.554,565,1.858,631,645,44,254,452,4.449,66,59,4.574,33,33,1.931,3.412,5.343,40,22,5.405,12,12,10.486,798,269,36,430,63,377,253,124,1.175,23,4,1.202,2.126,1.213,30,29,4.205,2.076,213,
8,Tomé,8111,158,158,50.014,4.959,6.873,3.324,2.073,259,1.424,3.805,22.717,200,128,23.045,158,158,14.475,13.319,27.794,228,74,28.096,52,52,49.148,3.179,1.063,220,1.483,413,4.421,2.775,1.646,7.600,121,24,7.745,17.846,5.527,92,55,9.225,18.933,601,
12,Torres del Paine,12402,6,6,1.634,123,161,123,42,4,67,74,594,8,8,610,6,6,391,309,700,3,1,704,2,2,1.622,30,10,2,16,2,42,29,13,72,2,0,74,472,114,4,2,82,29,3,
11,Tortel,11303,2,2,570,67,39,35,20,8,15,14,198,10,7,215,2,2,153,83,236,4,1,241,1,1,564,22,10,5,2,5,28,12,16,50,0,1,51,184,23,0,0,150,13,6,
9,Traiguén,9210,65,65,18.595,1.273,3.830,991,753,105,430,519,7.901,113,66,8.080,65,65,3.535,6.086,9.621,77,22,9.720,20,20,18.397,1.527,426,87,858,156,843,520,323,2.370,37,11,2.418,4.144,2.189,34,35,6.571,5.657,269,
16,Treguaco,16207,20,20,6.241,398,905,557,310,20,117,338,2.645,22,27,2.694,20,20,1.371,2.072,3.443,20,7,3.470,10,10,6.202,374,170,20,159,25,235,165,70,609,7,3,619,1.569,528,9,9,1.852,982,106,
8,Tucapel,8312,47,47,13.197,830,1.820,939,584,53,305,1.148,5.679,60,61,5.800,47,47,2.994,3.580,6.574,40,19,6.633,14,14,12.792,960,290,60,463,147,757,520,237,1.717,31,2,1.750,3.939,1.267,29,22,2.926,3.751,169,
14,Valdivia,14101,412,412,139.836,21.114,19.546,8.563,7.403,1.092,4.257,8.081,70.056,508,278,70.842,412,412,48.376,33.503,81.879,632,258,82.769,139,139,134.130,11.462,2.920,1.230,5.934,1.378,17.797,11.160,6.637,29.259,324,62,29.645,58.607,16.175,256,121,22.827,43.110,1.178,
3,Vallenar,3301,135,135,45.689,2.823,2.805,8.653,1.110,174,526,3.937,20.028,112,66,20.206,135,135,14.461,6.834,21.295,176,49,21.520,45,45,44.392,1.713,549,166,839,159,3.074,1.634,1.440,4.787,83,21,4.891,18.485,2.463,90,37,11.568,14.528,852,
5,Valparaíso,5101,940,940,287.931,45.641,30.453,12.912,12.314,3.297,11.383,13.490,129.490,1.126,438,131.054,940,940,99.453,51.996,151.449,1.260,377,153.086,296,296,281.486,18.252,5.160,1.632,8.863,2.597,39.843,20.261,19.582,58.095,778,109,58.982,122.068,25.405,486,186,64.961,100.411,3.822,
7,Vichuquén,7309,21,21,5.335,398,855,414,757,25,107,186,2.742,16,24,2.782,21,21,1.452,1.796,3.248,27,13,3.288,8,8,5.284,741,177,40,480,44,326,207,119,1.067,9,5,1.081,1.566,649,9,8,1.285,1.124,44,
9,Victoria,9211,111,111,32.607,1.718,8.465,1.477,1.142,121,740,1.029,14.692,127,81,14.900,111,111,4.899,12.266,17.165,117,30,17.312,38,38,31.896,3.037,918,205,1.564,350,1.578,1.115,463,4.615,54,15,4.684,7.060,5.193,76,44,10.059,8.037,462,
4,Vicuña,4106,70,70,23.805,2.255,1.745,1.968,822,124,537,1.672,9.123,119,62,9.304,70,70,7.759,3.894,11.653,86,27,11.766,35,35,23.379,1.115,417,91,472,135,1.871,1.135,736,2.986,44,10,3.040,9.483,1.308,45,21,6.546,4.061,393,
9,Vilcún,9119,75,75,24.718,1.444,4.473,1.605,1.208,100,548,1.301,10.679,116,84,10.879,75,75,4.764,8.190,12.954,117,38,13.109,26,26,24.031,2.112,597,125,1.253,137,1.150,764,386,3.262,38,6,3.306,5.971,3.022,70,56,5.077,4.094,175,
7,Villa Alegre,7407,41,41,14.020,964,2.056,937,845,42,396,636,5.876,56,39,5.971,41,41,3.400,4.220,7.620,42,14,7.676,14,14,13.639,1.252,426,70,561,195,855,573,282,2.107,17,4,2.128,3.774,1.628,22,11,4.817,3.178,146,
5,Villa Alemana,5804,293,293,100.481,14.351,15.343,4.365,5.754,852,3.941,6.545,51.151,366,125,51.642,293,293,33.951,25.937,59.888,550,151,60.589,98,98,97.849,9.336,2.488,725,4.853,1.270,14.235,8.785,5.450,23.571,322,36,23.929,41.109,12.054,162,56,16.284,19.903,1.039,
9,Villarrica,9120,165,165,56.170,5.166,9.997,2.567,2.858,288,1.185,2.727,24.788,183,131,25.102,165,165,12.289,16.662,28.951,206,83,29.240,55,55,53.716,4.964,1.538,423,2.433,570,4.736,2.998,1.738,9.700,118,21,9.839,15.087,6.534,89,40,12.458,8.210,443,
5,Viña del Mar,5109,947,947,302.008,41.768,47.235,13.568,20.935,2.319,9.966,13.865,149.656,967,398,151.021,947,947,93.557,77.173,170.730,1.499,490,172.719,314,314,295.915,33.390,9.943,4.065,15.910,3.472,38.076,24.228,13.848,71.466,841,120,72.427,116.886,43.263,492,190,73.970,94.720,3.434,Incluye parte de Concón
13,Vitacura,13132,265,265,88.802,4.455,31.215,3.596,20.890,110,449,254,60.969,208,109,61.286,265,265,10.511,52.410,62.921,1.287,565,64.773,133,133,88.186,38.361,12.283,7.935,17.235,908,7.906,7.085,821,46.267,217,37,46.521,19.746,40.323,162,94,30.633,16.543,564,
7,Yerbas Buenas,7408,47,47,15.095,934,2.247,1.070,726,68,485,742,6.272,92,77,6.441,47,47,3.501,4.387,7.888,57,19,7.964,16,16,14.422,932,345,56,415,116,656,458,198,1.588,27,6,1.621,3.881,1.675,35,15,4.110,2.428,134,
8,Yumbel,8313,68,68,20.248,1.381,3.275,1.242,794,86,472,1.361,8.611,89,71,8.771,68,68,4.234,6.134,10.368,64,42,10.474,24,24,19.831,1.427,483,103,642,199,1.214,832,382,2.641,33,9,2.683,5.246,2.149,56,25,6.239,6.145,419,
16,Yungay,16109,49,49,16.460,1.181,1.930,1.148,681,70,388,1.351,6.749,60,54,6.863,49,49,4.048,4.129,8.177,50,31,8.258,17,17,16.148,966,326,70,447,123,965,618,347,1.931,35,6,1.972,5.262,1.584,29,16,5.110,3.569,238,
5,Zapallar,5405,28,28,9.155,1.069,1.831,467,1.311,38,269,430,5.415,31,15,5.461,28,28,2.745,3.518,6.263,82,37,6.382,14,14,8.849,2.035,596,286,1.088,65,990,673,317,3.025,18,6,3.049,3.250,1.643,13,3,1.582,944,52,
EXT,Extranjero,S/C,248,248,71.018,18.173,7.172,2.156,3.791,688,829,997,33.806,164,66,34.036,248,248,24.652,10.056,34.708,285,156,35.149,166,169,65.936,4.024,1.282,902,1.586,254,12.361,5.630,6.731,16.385,204,30,16.619,25.331,5.548,52,31,,,,
