fecha,Causas externas de morbilidad y de mortalidad,COVID-19,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema circulatorio ,Enfermedades del sistema genitourinario,Enfermedades del sistema respiratorio ,Trastornos mentales y del comportamiento,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del sistema nervioso central,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ","Malformaciones congénitas, deformidades y anomalías cromosómicas","Embarazo, parto y puerperio",Ciertas afecciones originadas en el período perinatal,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Códigos para propósitos especiales
2016-05-17,10,0,27,8,22,1,7,1,4,1,5,3,9,1,2,1,0,1,0,0,0
2016-05-18,2,0,25,7,31,3,13,4,2,1,3,7,10,1,0,0,0,3,0,0,0
2016-05-19,7,0,33,9,28,3,9,4,3,1,6,4,8,0,0,0,0,0,0,0,0
2016-05-20,7,0,33,8,26,0,12,1,3,0,2,2,5,0,1,2,0,2,0,0,0
2016-05-21,5,0,25,9,33,5,10,2,2,2,0,2,10,0,1,2,0,0,0,0,0
2016-05-22,6,0,25,8,26,0,5,4,0,0,4,3,3,1,0,0,0,1,0,0,0
2016-05-23,3,0,29,6,30,4,10,1,2,0,3,4,13,0,3,2,0,0,0,0,0
2016-05-24,7,0,34,2,29,3,3,2,3,0,6,0,11,0,0,2,0,0,0,0,0
2016-05-25,7,0,32,7,38,1,8,2,3,0,5,1,11,2,2,1,0,0,0,0,0
2016-05-26,8,0,27,7,30,1,14,1,1,3,2,7,5,1,1,0,0,0,0,0,0
2016-05-27,9,0,32,4,32,1,12,2,2,0,3,5,7,0,2,2,0,1,0,0,0
2016-05-28,4,0,31,12,44,3,10,2,3,1,4,4,9,1,0,0,0,0,0,0,0
2016-05-29,8,0,27,4,35,2,14,4,2,0,4,3,9,1,0,2,0,1,0,0,0
2016-05-30,9,0,31,6,32,5,9,2,4,0,4,5,17,0,0,0,0,1,0,0,0
2016-05-31,3,0,38,5,32,8,12,4,4,0,2,3,7,0,0,1,0,0,0,0,0
2016-06-01,4,0,28,4,28,1,16,4,5,0,2,3,13,0,2,2,0,1,0,0,0
2016-06-02,5,0,32,3,28,2,10,3,1,0,5,2,6,0,1,2,0,0,0,0,0
2016-06-03,4,0,21,6,30,3,14,1,1,0,9,3,12,0,2,2,0,0,0,0,0
2016-06-04,7,0,22,10,26,2,8,4,1,0,2,3,8,0,1,1,0,2,0,0,0
2016-06-05,10,0,25,6,35,5,11,0,1,0,4,3,3,0,1,1,0,0,0,0,0
2016-06-06,7,0,20,6,35,2,13,0,2,0,1,4,4,0,0,1,0,0,0,0,0
2016-06-07,4,0,21,5,41,3,10,5,1,1,6,5,10,0,0,0,0,0,0,0,0
2016-06-08,8,0,19,9,49,5,8,5,2,1,4,4,5,0,0,0,0,0,0,0,0
2016-06-09,10,0,33,9,22,9,10,2,7,1,5,2,11,1,1,1,0,3,0,0,0
2016-06-10,9,0,25,14,29,2,16,3,4,1,3,2,7,0,0,1,0,0,0,0,0
2016-06-11,13,0,28,11,21,2,12,2,3,2,5,1,8,0,0,0,0,1,0,0,0
2016-06-12,5,0,43,6,38,6,12,3,3,2,3,1,7,1,0,3,0,1,0,0,0
2016-06-13,10,0,30,11,38,8,14,3,3,0,4,5,6,0,2,1,0,0,0,0,0
2016-06-14,4,0,27,9,26,6,9,1,1,0,8,1,8,0,0,0,0,2,0,0,0
2016-06-15,6,0,18,1,28,3,15,2,1,0,9,1,9,1,1,2,0,1,0,0,0
2016-06-16,4,0,40,7,33,8,15,2,0,0,4,1,5,0,0,2,0,1,0,0,0
2016-06-17,4,0,28,14,35,3,7,3,7,0,3,5,6,0,0,1,0,1,0,0,0
2016-06-18,6,0,22,5,35,3,13,2,3,0,2,0,6,1,0,3,0,2,0,0,0
2016-06-19,10,0,23,15,41,2,9,3,3,3,5,2,7,0,1,0,0,0,0,0,0
2016-06-20,3,0,24,9,38,2,15,4,5,1,2,3,7,3,1,0,0,0,0,0,0
2016-06-21,5,0,29,10,33,4,16,3,4,2,2,5,10,1,0,2,0,0,0,0,0
2016-06-22,5,0,29,8,41,4,22,4,4,2,5,1,4,2,3,2,0,1,0,0,0
2016-06-23,11,0,32,5,39,8,15,0,2,1,3,11,7,2,0,4,0,0,0,0,0
2016-06-24,6,0,31,6,38,1,17,1,3,0,3,5,7,0,0,0,0,1,0,0,0
2016-06-25,9,0,23,5,40,2,18,0,2,1,2,2,6,0,1,1,0,0,0,1,0
2016-06-26,4,0,30,6,45,3,15,3,2,1,3,2,11,0,0,0,0,0,0,0,0
2016-06-27,8,0,24,7,37,2,24,3,4,0,9,3,12,0,1,0,0,1,0,0,0
2016-06-28,11,0,35,8,30,3,20,3,2,0,4,5,5,1,0,0,0,0,0,0,0
2016-06-29,8,0,29,13,44,5,23,2,0,1,5,4,7,0,0,1,0,2,0,0,0
2016-06-30,7,0,35,9,33,0,17,1,1,0,4,6,9,0,0,0,0,1,0,0,0
2016-07-01,8,0,32,15,43,3,17,0,6,0,4,2,10,0,0,1,0,1,0,0,0
2016-07-02,8,0,37,9,56,4,16,4,1,1,4,2,7,1,0,1,1,3,0,0,0
2016-07-03,4,0,31,11,37,9,10,2,0,1,1,2,5,1,1,0,0,0,0,0,0
2016-07-04,11,0,22,11,35,4,14,3,1,0,4,4,8,0,0,0,0,0,0,0,0
2016-07-05,1,0,29,8,32,1,16,3,4,1,4,6,4,1,2,2,0,0,0,0,0
2016-07-06,5,0,20,6,44,5,11,6,4,2,5,6,5,1,0,1,0,0,0,0,0
2016-07-07,4,0,30,8,35,3,18,3,2,0,4,4,7,0,0,2,0,0,0,0,0
2016-07-08,12,0,26,9,33,2,22,3,2,1,5,2,16,2,0,1,0,2,0,0,0
2016-07-09,7,0,32,12,35,6,15,1,1,0,5,2,6,0,0,2,0,1,0,0,0
2016-07-10,8,0,31,18,42,3,19,3,4,3,4,1,8,2,0,0,0,2,0,0,0
2016-07-11,6,0,43,10,44,1,23,5,3,2,9,6,9,0,0,1,0,0,0,0,0
2016-07-12,4,0,24,11,58,7,14,1,2,0,3,4,8,1,2,2,0,0,0,0,0
2016-07-13,3,0,30,12,43,2,17,3,2,2,6,6,14,0,0,3,0,2,0,0,0
2016-07-14,11,0,29,6,45,4,17,3,2,0,7,2,11,1,0,1,0,1,0,0,0
2016-07-15,6,0,30,12,36,3,20,5,2,0,2,5,6,0,1,0,0,0,0,0,0
2016-07-16,7,0,32,8,47,4,15,2,4,1,6,5,8,2,1,0,0,0,0,0,0
2016-07-17,9,0,29,11,50,4,29,3,1,1,2,3,15,2,0,0,0,0,0,0,0
2016-07-18,9,0,29,16,37,5,14,4,1,2,4,3,5,1,3,1,0,1,0,0,0
2016-07-19,6,0,24,12,40,2,22,2,4,1,4,4,12,2,0,2,0,0,0,0,0
2016-07-20,3,0,35,10,50,10,16,1,1,0,6,2,11,0,0,2,0,0,0,0,0
2016-07-21,8,0,35,13,34,1,15,2,2,1,8,2,11,0,1,3,2,1,0,0,0
2016-07-22,10,0,38,9,42,3,20,7,1,1,3,5,6,0,0,0,0,0,0,0,0
2016-07-23,11,0,22,5,43,5,23,1,3,1,3,3,10,1,1,1,0,1,0,0,0
2016-07-24,9,0,32,3,49,2,14,5,3,0,5,4,10,2,0,3,0,0,0,0,0
2016-07-25,12,0,28,5,29,5,21,1,3,0,6,2,7,1,0,2,1,0,0,0,0
2016-07-26,7,0,27,5,33,3,14,1,1,0,3,1,4,1,1,1,0,2,0,0,0
2016-07-27,4,0,31,11,35,2,25,3,3,0,3,3,8,1,0,2,0,1,0,0,0
2016-07-28,7,0,34,8,25,2,19,3,2,1,4,2,10,1,3,3,0,0,0,0,0
2016-07-29,8,0,29,9,39,6,23,2,2,1,10,2,5,1,0,2,1,3,0,0,0
2016-07-30,6,0,28,7,34,4,14,3,7,1,2,0,10,0,1,0,0,1,0,0,0
2016-07-31,14,0,28,12,42,5,12,1,5,0,5,6,7,1,0,0,0,0,0,0,0
2016-08-01,5,0,29,4,35,5,18,2,3,1,2,4,8,1,1,1,0,0,0,0,0
2016-08-02,4,0,38,5,32,3,9,3,3,1,5,3,8,0,2,0,0,0,0,0,0
2016-08-03,2,0,45,11,47,4,14,5,8,1,6,6,5,0,1,2,0,0,0,0,0
2016-08-04,5,0,22,6,32,4,14,1,4,0,5,3,9,2,0,0,0,0,0,0,0
2016-08-05,3,0,34,14,29,3,22,1,0,2,3,5,13,0,1,1,0,2,0,0,0
2016-08-06,8,0,28,13,50,4,10,4,1,0,4,1,14,1,0,1,0,2,0,0,0
2016-08-07,8,0,29,6,34,3,12,2,3,1,8,4,9,1,1,0,0,1,0,0,0
2016-08-08,11,0,22,7,35,3,20,2,5,1,8,3,3,1,0,2,0,0,0,0,0
2016-08-09,3,0,26,7,33,0,10,2,4,0,5,1,7,0,1,1,1,0,0,0,0
2016-08-10,6,0,36,7,34,5,17,0,2,0,2,2,10,1,0,0,0,0,0,0,0
