fecha,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,Enfermedades del sistema circulatorio ,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades endocrinas, nutricionales y metabólicas",Causas externas de morbilidad y de mortalidad,Trastornos mentales y del comportamiento,COVID-19,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades de la piel y del tejido subcutáneo,Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-04-05,69,17,69,3,25,6,2,11,15,4,0,6,1,1,4,0,0,0,2,0,0
2016-04-06,64,17,70,9,28,8,8,11,19,5,0,1,1,0,5,0,0,0,3,0,0
2016-04-07,82,19,73,12,28,4,7,16,11,5,0,8,1,0,3,1,0,0,1,0,0
2016-04-08,82,28,76,2,19,6,3,17,14,3,0,8,1,4,4,0,0,0,1,0,0
2016-04-09,54,27,67,6,23,5,8,14,19,7,0,13,1,1,2,2,0,0,0,0,0
2016-04-10,71,19,66,7,28,10,12,13,16,5,0,11,2,2,1,1,0,0,1,0,0
2016-04-11,87,22,84,11,30,7,9,15,23,1,0,11,1,2,2,1,0,0,2,0,0
2016-04-12,87,20,74,8,19,5,15,17,17,3,0,11,2,1,1,0,0,0,3,0,0
2016-04-13,65,17,67,11,17,0,10,17,24,4,0,13,1,1,3,0,0,0,2,0,0
2016-04-14,69,19,70,7,26,6,5,16,17,3,0,3,1,0,6,1,0,0,2,0,0
2016-04-15,81,23,62,7,27,9,10,15,13,3,0,5,3,4,4,0,0,0,2,0,0
2016-04-16,79,25,94,11,19,3,5,14,21,6,0,14,1,1,2,0,0,0,1,0,0
2016-04-17,80,18,75,8,26,9,11,19,18,4,0,12,0,5,1,1,0,0,1,0,0
2016-04-18,56,21,79,6,18,6,10,18,20,3,0,7,2,3,4,0,0,0,2,0,0
2016-04-19,82,27,66,7,19,6,14,16,16,7,0,10,1,4,2,1,0,0,3,0,0
2016-04-20,68,16,80,13,17,6,7,13,15,8,0,11,0,0,1,1,0,0,3,0,0
2016-04-21,75,19,67,7,17,5,9,12,13,4,0,12,0,1,4,1,0,0,2,0,0
2016-04-22,84,24,85,9,18,4,15,14,26,2,0,7,4,2,5,1,0,0,1,0,0
2016-04-23,78,25,80,7,17,8,14,17,18,5,0,7,1,0,5,0,0,0,1,0,0
2016-04-24,68,21,77,4,16,11,8,11,22,2,0,12,3,1,2,2,0,0,2,0,0
2016-04-25,72,31,86,4,27,5,11,17,20,5,0,10,0,1,5,1,0,0,0,0,0
2016-04-26,72,27,91,5,22,6,7,18,21,5,0,10,3,2,2,4,0,0,3,0,0
2016-04-27,76,22,78,8,26,7,4,8,25,9,0,9,0,0,1,3,0,0,1,0,0
2016-04-28,80,35,60,4,19,6,5,17,12,2,0,11,2,1,1,0,0,0,2,1,0
2016-04-29,88,24,84,9,22,4,10,21,19,7,0,4,2,1,3,1,0,0,3,0,0
2016-04-30,71,34,73,9,28,7,9,22,25,5,0,7,1,1,1,4,0,0,1,1,0
2016-05-01,83,22,91,5,16,9,4,8,22,5,0,14,0,2,1,3,1,0,4,1,0
2016-05-02,73,26,68,5,20,7,6,15,16,14,0,5,1,2,2,1,0,0,4,0,0
2016-05-03,94,15,81,9,26,9,10,18,28,9,0,16,2,0,2,0,0,0,2,0,0
2016-05-04,71,14,82,5,22,10,8,11,14,8,0,8,1,0,1,1,0,0,2,1,0
2016-05-05,62,24,71,12,19,4,9,10,7,5,0,11,0,2,5,3,0,0,5,1,0
2016-05-06,79,20,60,9,18,4,12,16,11,8,0,12,2,2,1,0,0,0,0,0,0
2016-05-07,78,13,77,4,18,7,7,10,25,2,0,10,0,1,0,2,0,0,0,0,0
2016-05-08,84,23,67,8,20,5,10,15,23,7,0,8,1,5,2,1,0,0,3,0,0
2016-05-09,66,32,79,7,23,6,10,17,23,0,0,13,1,1,3,2,0,0,1,0,0
2016-05-10,89,26,81,12,22,7,7,20,24,2,0,9,3,1,1,0,0,0,2,0,0
2016-05-11,80,19,61,4,21,5,8,14,17,4,0,10,0,1,2,3,0,0,1,0,0
2016-05-12,75,30,55,8,20,7,8,11,19,4,0,9,1,1,3,0,0,0,2,0,0
2016-05-13,81,20,73,9,23,5,11,16,19,9,0,8,4,3,4,0,0,0,2,0,0
2016-05-14,81,30,87,9,13,8,8,18,19,3,0,5,0,3,3,1,0,0,2,0,0
2016-05-15,78,25,71,9,21,5,7,15,29,6,0,14,3,3,2,3,0,0,4,0,0
2016-05-16,80,24,73,6,25,6,14,11,14,2,0,10,1,2,4,1,0,0,1,0,0
2016-05-17,71,16,73,10,24,8,5,16,19,2,0,11,3,3,1,2,0,0,2,0,0
2016-05-18,76,23,82,12,25,5,11,19,16,5,0,8,3,3,2,3,0,0,3,0,0
2016-05-19,78,25,77,6,19,7,11,18,17,5,0,12,6,3,2,1,0,0,1,0,0
2016-05-20,84,24,73,4,22,5,8,17,19,1,0,8,3,2,4,1,0,0,3,0,0
2016-05-21,71,37,75,8,25,4,11,15,18,3,0,10,3,8,3,0,0,0,1,0,0
2016-05-22,78,19,71,5,17,5,5,20,14,8,0,10,1,5,0,2,0,0,1,0,0
2016-05-23,80,25,86,7,29,6,10,15,13,4,0,12,4,0,6,0,0,0,6,0,0
2016-05-24,82,10,75,4,19,11,8,15,20,5,0,9,3,1,2,2,0,0,1,0,0
2016-05-25,88,25,77,4,27,7,10,24,16,2,0,14,4,2,4,3,0,0,1,0,0
2016-05-26,77,26,70,13,15,6,11,22,25,3,0,4,1,5,2,2,0,0,0,0,0
2016-05-27,78,26,75,10,16,3,9,12,20,3,0,8,5,2,3,1,0,0,4,0,0
2016-05-28,76,25,94,9,21,7,7,17,14,7,0,12,1,2,1,1,0,0,4,0,0
2016-05-29,67,31,84,14,31,6,7,19,20,5,0,13,2,2,6,3,0,0,2,0,0
2016-05-30,85,27,82,8,34,5,12,12,21,6,0,12,0,5,1,1,0,0,2,0,0
2016-05-31,90,26,77,5,18,8,12,12,13,7,0,11,3,0,4,0,0,0,4,0,0
2016-06-01,71,34,80,8,27,6,9,14,15,4,0,9,2,0,7,0,0,0,3,0,0
2016-06-02,91,22,80,7,14,2,10,16,16,3,0,11,1,1,4,0,0,0,4,0,0
2016-06-03,71,32,81,6,26,3,9,16,14,5,0,13,2,2,3,0,0,0,0,0,0
2016-06-04,65,18,84,8,25,6,6,17,25,7,0,9,3,0,2,0,0,0,4,0,0
2016-06-05,73,23,90,8,13,3,10,16,27,2,0,11,3,1,3,0,0,0,1,1,0
2016-06-06,74,35,78,7,19,2,8,25,20,6,0,8,0,0,1,1,0,0,1,0,0
2016-06-07,69,27,101,11,29,5,8,16,16,6,0,10,1,1,4,0,0,0,3,0,0
2016-06-08,68,24,89,16,20,8,10,26,17,9,0,7,0,1,1,0,0,0,3,0,0
2016-06-09,88,26,88,11,26,11,16,18,24,5,0,16,1,2,4,1,0,0,4,0,0
2016-06-10,69,33,77,8,20,10,8,31,28,8,0,7,0,3,1,1,0,0,2,1,0
2016-06-11,85,33,69,13,21,9,10,19,28,7,0,13,0,4,1,0,0,0,1,0,0
2016-06-12,84,31,104,7,18,6,11,15,19,5,0,12,2,2,3,1,0,0,4,0,0
2016-06-13,75,37,101,6,17,6,16,20,25,10,0,10,2,1,1,0,1,0,2,0,0
2016-06-14,80,23,82,7,21,4,18,23,15,4,0,13,1,1,3,1,0,0,5,0,0
2016-06-15,67,30,87,6,28,3,8,10,11,4,0,18,2,1,6,1,0,0,2,0,0
2016-06-16,94,32,72,13,24,7,13,16,17,10,0,14,1,1,3,0,0,0,3,0,0
2016-06-17,68,23,101,9,25,12,9,28,12,6,0,8,0,1,3,0,0,0,1,0,0
2016-06-18,66,33,86,5,20,6,6,19,32,3,0,10,0,4,8,2,0,0,4,0,0
2016-06-19,65,26,102,11,18,5,4,31,24,5,0,12,7,6,0,1,0,0,0,0,0
2016-06-20,69,31,86,8,27,7,9,26,14,6,0,10,2,3,3,3,0,0,0,0,0
2016-06-21,88,37,90,11,21,8,12,20,18,6,0,8,0,5,4,2,0,0,1,1,0
2016-06-22,81,47,104,5,29,7,12,17,25,6,0,15,5,3,7,2,0,0,2,0,0
2016-06-23,90,32,95,19,15,6,17,20,20,1,0,12,0,4,7,2,0,0,3,0,0
2016-06-24,82,35,83,11,23,7,11,16,22,8,0,10,2,1,4,0,0,0,5,0,0
2016-06-25,88,37,83,5,17,5,10,21,27,3,0,13,1,1,3,3,0,1,2,0,0
2016-06-26,83,45,110,10,26,6,7,17,29,5,0,10,0,2,4,0,0,0,1,0,0
2016-06-27,71,49,104,9,25,9,9,24,28,6,0,14,2,1,1,1,0,0,1,0,0
2016-06-28,82,40,85,12,22,5,9,23,27,8,0,9,0,1,3,2,0,0,2,0,0
2016-06-29,71,48,96,8,18,3,13,26,21,10,0,8,0,5,2,0,0,0,2,0,0
2016-06-30,78,37,95,10,25,3,9,27,19,3,0,11,0,2,2,1,0,0,4,1,0
2016-07-01,75,32,101,7,29,11,6,24,23,11,0,8,1,1,2,0,0,0,1,0,0
2016-07-02,86,44,108,9,26,5,9,19,20,10,0,16,0,1,4,2,0,0,4,1,0
2016-07-03,89,32,95,5,20,6,12,26,28,8,0,6,3,5,2,2,0,0,0,0,0
2016-07-04,71,37,99,12,19,5,12,22,29,10,0,14,1,1,3,0,0,0,1,0,0
2016-07-05,86,36,95,14,21,9,8,22,10,8,0,11,2,1,4,1,0,0,1,0,0
2016-07-06,57,26,111,14,15,8,14,19,19,11,0,13,0,2,5,5,0,0,0,0,0
2016-07-07,77,51,102,9,28,5,6,18,20,7,0,13,2,2,2,0,0,0,0,0,0
2016-07-08,77,43,98,7,33,4,6,23,25,5,0,11,1,3,4,2,0,0,4,0,0
2016-07-09,86,40,107,8,20,5,12,29,21,4,0,9,1,0,4,1,0,0,3,0,0
2016-07-10,74,50,106,6,20,7,7,31,27,6,0,15,2,3,1,3,0,0,2,0,0
2016-07-11,99,40,96,10,23,6,8,22,26,7,0,15,1,3,2,2,0,0,1,0,0
2016-07-12,67,34,125,10,24,6,13,26,12,6,0,7,3,0,4,3,0,0,0,1,0
2016-07-13,76,38,99,16,36,11,11,28,16,6,0,13,0,2,3,1,0,0,2,0,0
2016-07-14,79,34,111,5,18,5,9,23,37,7,0,13,0,0,2,2,0,0,1,0,0
2016-07-15,74,36,107,9,19,9,11,25,24,8,0,4,2,2,1,0,0,0,3,0,0
2016-07-16,92,36,107,12,26,6,9,16,25,8,0,13,3,4,2,2,0,0,2,0,0
2016-07-17,77,54,114,11,28,5,8,25,33,6,0,12,1,2,1,2,0,0,1,0,0
2016-07-18,76,30,101,10,24,8,12,37,23,7,0,15,3,4,5,1,0,0,1,0,0
2016-07-19,75,46,97,9,38,8,13,28,22,4,0,17,1,2,3,2,0,0,1,0,0
2016-07-20,84,47,122,8,19,9,16,24,14,7,0,16,5,1,4,2,0,0,0,0,0
2016-07-21,89,41,99,7,30,5,10,26,21,6,0,14,2,2,3,1,0,1,4,2,0
2016-07-22,85,45,91,7,19,3,11,19,24,11,0,13,1,2,2,0,0,0,1,0,0
2016-07-23,80,59,104,9,28,5,15,23,29,6,0,14,2,3,2,4,0,0,2,0,0
2016-07-24,71,34,119,8,21,6,11,21,24,6,0,14,3,0,4,2,0,0,1,0,0
2016-07-25,81,44,90,7,17,5,17,13,25,7,0,15,1,0,6,3,0,0,1,1,0
2016-07-26,73,47,91,7,17,7,10,22,20,9,0,10,3,0,3,2,0,0,4,1,0
2016-07-27,82,45,90,8,25,5,8,19,21,5,0,11,0,2,6,3,0,0,1,0,0
2016-07-28,92,34,83,5,22,7,6,22,15,7,0,17,4,3,3,2,0,0,1,0,0
2016-07-29,79,41,88,9,18,6,11,25,15,6,0,14,2,1,5,2,0,0,3,2,0
2016-07-30,71,39,85,5,24,10,10,21,17,6,0,9,2,3,2,2,0,0,5,0,0
2016-07-31,72,35,107,15,19,8,12,27,32,7,0,12,0,2,2,1,0,0,2,0,0
2016-08-01,90,38,81,7,26,5,12,15,21,5,0,10,1,3,1,1,0,0,1,0,0
2016-08-02,94,34,74,6,18,5,12,18,12,6,0,9,4,2,0,0,0,0,2,0,0
2016-08-03,93,39,106,11,15,9,12,20,10,7,0,16,3,2,2,2,0,0,1,0,0
2016-08-04,62,41,74,7,26,8,11,13,13,2,0,10,1,1,1,3,0,0,0,0,0
2016-08-05,88,43,85,9,31,5,13,20,19,7,0,16,2,3,1,2,0,0,3,0,0
2016-08-06,77,27,99,7,26,7,9,23,25,7,0,12,0,1,3,2,0,0,3,0,0
2016-08-07,73,36,85,13,27,7,9,23,19,3,0,14,4,6,1,2,0,0,1,0,0
2016-08-08,69,45,95,9,16,10,11,21,30,5,0,17,1,3,3,1,0,0,0,0,0
2016-08-09,80,29,90,6,18,12,3,22,13,4,0,13,1,3,2,0,0,0,1,1,0
2016-08-10,89,48,88,8,21,5,8,19,19,4,0,9,1,1,1,4,0,0,0,0,0
2016-08-11,70,32,81,6,19,7,4,24,24,4,0,8,4,4,1,1,0,0,5,0,0
2016-08-12,80,36,91,9,23,9,12,16,19,6,0,15,5,2,1,0,0,0,1,0,0
2016-08-13,89,31,77,7,25,11,8,17,30,7,0,11,1,2,3,1,0,0,0,0,0
2016-08-14,80,39,69,9,24,5,6,25,23,2,0,13,0,1,2,3,0,0,3,0,0
2016-08-15,64,43,90,3,18,7,11,18,21,3,0,12,1,0,3,1,0,0,1,0,0
2016-08-16,77,51,88,10,23,8,13,27,20,3,0,13,0,5,2,0,0,0,3,1,0
2016-08-17,82,36,80,11,24,9,11,13,27,6,0,10,3,2,6,2,0,0,1,0,0
2016-08-18,60,34,87,5,21,4,13,25,22,6,0,12,2,4,4,1,0,0,2,1,0
2016-08-19,72,45,80,10,26,10,7,17,20,6,0,14,3,0,1,1,0,0,3,0,0
2016-08-20,78,31,69,10,19,5,14,19,18,10,0,11,0,2,5,1,0,0,3,1,0
2016-08-21,70,42,90,11,24,6,14,16,27,3,0,16,2,2,5,0,0,0,1,0,0
2016-08-22,73,38,85,11,20,8,12,17,28,10,0,17,0,2,3,1,0,0,4,0,0
2016-08-23,77,35,101,7,21,6,8,19,11,5,0,10,2,3,2,2,0,0,1,0,0
2016-08-24,77,32,66,6,28,9,10,22,17,3,0,13,1,2,1,4,0,0,3,0,0
2016-08-25,78,37,93,4,24,8,9,22,17,7,0,9,4,3,4,1,0,0,3,0,0
2016-08-26,62,25,84,10,14,4,9,21,16,5,0,9,1,5,5,2,0,0,2,0,0
2016-08-27,80,27,79,3,16,6,7,20,20,3,0,7,0,3,3,2,0,0,2,0,0
2016-08-28,86,22,94,14,21,7,9,25,33,8,0,10,0,3,0,2,0,0,2,0,0
2016-08-29,76,34,75,11,15,8,12,21,17,10,0,9,1,1,5,1,0,0,0,0,0
2016-08-30,67,46,80,12,21,8,7,22,24,9,0,3,1,1,4,2,0,0,2,1,0
2016-08-31,79,40,85,7,20,5,5,19,16,5,0,12,2,2,7,1,0,0,0,0,0
2016-09-01,77,29,81,10,20,6,8,16,20,4,0,6,2,2,2,3,0,0,2,0,0
2016-09-02,70,34,79,10,20,3,3,17,14,8,0,12,1,2,4,2,0,0,4,1,0
2016-09-03,72,43,85,10,20,5,14,24,29,2,0,6,0,2,4,1,0,0,0,0,0
2016-09-04,75,31,94,13,19,7,7,16,31,3,0,20,1,0,3,0,0,0,0,0,0
2016-09-05,91,45,82,8,25,3,5,16,23,6,0,15,1,3,1,1,0,0,1,0,0
