fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-05-15,0,3,3,6,2,27,33,6,9,11,5,0,0,2,1,0,0,0,2,0,0
2016-05-16,0,3,3,3,1,30,35,3,8,13,1,3,0,0,0,3,0,0,0,0,0
2016-05-17,0,10,1,5,1,27,22,8,7,9,3,4,1,2,1,1,0,0,1,0,0
2016-05-18,0,2,3,3,4,25,31,7,13,10,7,2,1,0,1,0,0,0,3,0,0
2016-05-19,0,7,3,6,4,33,28,9,9,8,4,3,0,0,1,0,0,0,0,0,0
2016-05-20,0,7,0,2,1,33,26,8,12,5,2,3,0,1,0,2,0,0,2,0,0
2016-05-21,0,5,5,0,2,25,33,9,10,10,2,2,0,1,2,2,0,0,0,0,0
2016-05-22,0,6,0,4,4,25,26,8,5,3,3,0,1,0,0,0,0,0,1,0,0
2016-05-23,0,3,4,3,1,29,30,6,10,13,4,2,0,3,0,2,0,0,0,0,0
2016-05-24,0,7,3,6,2,34,29,2,3,11,0,3,0,0,0,2,0,0,0,0,0
2016-05-25,0,7,1,5,2,32,38,7,8,11,1,3,2,2,0,1,0,0,0,0,0
2016-05-26,0,8,1,2,1,27,30,7,14,5,7,1,1,1,3,0,0,0,0,0,0
2016-05-27,0,9,1,3,2,32,32,4,12,7,5,2,0,2,0,2,0,0,1,0,0
2016-05-28,0,4,3,4,2,31,44,12,10,9,4,3,1,0,1,0,0,0,0,0,0
2016-05-29,0,8,2,4,4,27,35,4,14,9,3,2,1,0,0,2,0,0,1,0,0
2016-05-30,0,9,5,4,2,31,32,6,9,17,5,4,0,0,0,0,0,0,1,0,0
2016-05-31,0,3,8,2,4,38,32,5,12,7,3,4,0,0,0,1,0,0,0,0,0
2016-06-01,0,4,1,2,4,28,28,4,16,13,3,5,0,2,0,2,0,0,1,0,0
2016-06-02,0,5,2,5,3,32,28,3,10,6,2,1,0,1,0,2,0,0,0,0,0
2016-06-03,0,4,3,9,1,21,30,6,14,12,3,1,0,2,0,2,0,0,0,0,0
2016-06-04,0,7,2,2,4,22,26,10,8,8,3,1,0,1,0,1,0,0,2,0,0
2016-06-05,0,10,5,4,0,25,35,6,11,3,3,1,0,1,0,1,0,0,0,0,0
2016-06-06,0,7,2,1,0,20,35,6,13,4,4,2,0,0,0,1,0,0,0,0,0
2016-06-07,0,4,3,6,5,21,41,5,10,10,5,1,0,0,1,0,0,0,0,0,0
2016-06-08,0,8,5,4,5,19,49,9,8,5,4,2,0,0,1,0,0,0,0,0,0
2016-06-09,0,10,9,5,2,33,22,9,10,11,2,7,1,1,1,1,0,0,3,0,0
2016-06-10,0,9,2,3,3,25,29,14,16,7,2,4,0,0,1,1,0,0,0,0,0
2016-06-11,0,13,2,5,2,28,21,11,12,8,1,3,0,0,2,0,0,0,1,0,0
2016-06-12,0,5,6,3,3,43,38,6,12,7,1,3,1,0,2,3,0,0,1,0,0
2016-06-13,0,10,8,4,3,30,38,11,14,6,5,3,0,2,0,1,0,0,0,0,0
2016-06-14,0,4,6,8,1,27,26,9,9,8,1,1,0,0,0,0,0,0,2,0,0
2016-06-15,0,6,3,9,2,18,28,1,15,9,1,1,1,1,0,2,0,0,1,0,0
2016-06-16,0,4,8,4,2,40,33,7,15,5,1,0,0,0,0,2,0,0,1,0,0
2016-06-17,0,4,3,3,3,28,35,14,7,6,5,7,0,0,0,1,0,0,1,0,0
2016-06-18,0,6,3,2,2,22,35,5,13,6,0,3,1,0,0,3,0,0,2,0,0
2016-06-19,0,10,2,5,3,23,41,15,9,7,2,3,0,1,3,0,0,0,0,0,0
2016-06-20,0,3,2,2,4,24,38,9,15,7,3,5,3,1,1,0,0,0,0,0,0
2016-06-21,0,5,4,2,3,29,33,10,16,10,5,4,1,0,2,2,0,0,0,0,0
2016-06-22,0,5,4,5,4,29,41,8,22,4,1,4,2,3,2,2,0,0,1,0,0
2016-06-23,0,11,8,3,0,32,39,5,15,7,11,2,2,0,1,4,0,0,0,0,0
2016-06-24,0,6,1,3,1,31,38,6,17,7,5,3,0,0,0,0,0,0,1,0,0
2016-06-25,0,9,2,2,0,23,40,5,18,6,2,2,0,1,1,1,0,1,0,0,0
2016-06-26,0,4,3,3,3,30,45,6,15,11,2,2,0,0,1,0,0,0,0,0,0
2016-06-27,0,8,2,9,3,24,37,7,24,12,3,4,0,1,0,0,0,0,1,0,0
2016-06-28,0,11,3,4,3,35,30,8,20,5,5,2,1,0,0,0,0,0,0,0,0
2016-06-29,0,8,5,5,2,29,44,13,23,7,4,0,0,0,1,1,0,0,2,0,0
2016-06-30,0,7,0,4,1,35,33,9,17,9,6,1,0,0,0,0,0,0,1,0,0
2016-07-01,0,8,3,4,0,32,43,15,17,10,2,6,0,0,0,1,0,0,1,0,0
2016-07-02,0,8,4,4,4,37,56,9,16,7,2,1,1,0,1,1,0,0,3,1,0
2016-07-03,0,4,9,1,2,31,37,11,10,5,2,0,1,1,1,0,0,0,0,0,0
2016-07-04,0,11,4,4,3,22,35,11,14,8,4,1,0,0,0,0,0,0,0,0,0
2016-07-05,0,1,1,4,3,29,32,8,16,4,6,4,1,2,1,2,0,0,0,0,0
2016-07-06,0,5,5,5,6,20,44,6,11,5,6,4,1,0,2,1,0,0,0,0,0
2016-07-07,0,4,3,4,3,30,35,8,18,7,4,2,0,0,0,2,0,0,0,0,0
2016-07-08,0,12,2,5,3,26,33,9,22,16,2,2,2,0,1,1,0,0,2,0,0
2016-07-09,0,7,6,5,1,32,35,12,15,6,2,1,0,0,0,2,0,0,1,0,0
2016-07-10,0,8,3,4,3,31,42,18,19,8,1,4,2,0,3,0,0,0,2,0,0
2016-07-11,0,6,1,9,5,43,44,10,23,9,6,3,0,0,2,1,0,0,0,0,0
2016-07-12,0,4,7,3,1,24,58,11,14,8,4,2,1,2,0,2,0,0,0,0,0
2016-07-13,0,3,2,6,3,30,43,12,17,14,6,2,0,0,2,3,0,0,2,0,0
2016-07-14,0,11,4,7,3,29,45,6,17,11,2,2,1,0,0,1,0,0,1,0,0
2016-07-15,0,6,3,2,5,30,36,12,20,6,5,2,0,1,0,0,0,0,0,0,0
2016-07-16,0,7,4,6,2,32,47,8,15,8,5,4,2,1,1,0,0,0,0,0,0
2016-07-17,0,9,4,2,3,29,50,11,29,15,3,1,2,0,1,0,0,0,0,0,0
2016-07-18,0,9,5,4,4,29,37,16,14,5,3,1,1,3,2,1,0,0,1,0,0
2016-07-19,0,6,2,4,2,24,40,12,22,12,4,4,2,0,1,2,0,0,0,0,0
2016-07-20,0,3,10,6,1,35,50,10,16,11,2,1,0,0,0,2,0,0,0,0,0
2016-07-21,0,8,1,8,2,35,34,13,15,11,2,2,0,1,1,3,0,0,1,2,0
2016-07-22,0,10,3,3,7,38,42,9,20,6,5,1,0,0,1,0,0,0,0,0,0
2016-07-23,0,11,5,3,1,22,43,5,23,10,3,3,1,1,1,1,0,0,1,0,0
2016-07-24,0,9,2,5,5,32,49,3,14,10,4,3,2,0,0,3,0,0,0,0,0
2016-07-25,0,12,5,6,1,28,29,5,21,7,2,3,1,0,0,2,0,0,0,1,0
2016-07-26,0,7,3,3,1,27,33,5,14,4,1,1,1,1,0,1,0,0,2,0,0
2016-07-27,0,4,2,3,3,31,35,11,25,8,3,3,1,0,0,2,0,0,1,0,0
2016-07-28,0,7,2,4,3,34,25,8,19,10,2,2,1,3,1,3,0,0,0,0,0
2016-07-29,0,8,6,10,2,29,39,9,23,5,2,2,1,0,1,2,0,0,3,1,0
2016-07-30,0,6,4,2,3,28,34,7,14,10,0,7,0,1,1,0,0,0,1,0,0
2016-07-31,0,14,5,5,1,28,42,12,12,7,6,5,1,0,0,0,0,0,0,0,0
2016-08-01,0,5,5,2,2,29,35,4,18,8,4,3,1,1,1,1,0,0,0,0,0
2016-08-02,0,4,3,5,3,38,32,5,9,8,3,3,0,2,1,0,0,0,0,0,0
2016-08-03,0,2,4,6,5,45,47,11,14,5,6,8,0,1,1,2,0,0,0,0,0
2016-08-04,0,5,4,5,1,22,32,6,14,9,3,4,2,0,0,0,0,0,0,0,0
2016-08-05,0,3,3,3,1,34,29,14,22,13,5,0,0,1,2,1,0,0,2,0,0
2016-08-06,0,8,4,4,4,28,50,13,10,14,1,1,1,0,0,1,0,0,2,0,0
2016-08-07,0,8,3,8,2,29,34,6,12,9,4,3,1,1,1,0,0,0,1,0,0
2016-08-08,0,11,3,8,2,22,35,7,20,3,3,5,1,0,1,2,0,0,0,0,0
2016-08-09,0,3,0,5,2,26,33,7,10,7,1,4,0,1,0,1,0,0,0,1,0
2016-08-10,0,6,5,2,0,36,34,7,17,10,2,2,1,0,0,0,0,0,0,0,0
2016-08-11,0,7,2,3,1,35,32,8,11,6,2,2,0,2,2,0,0,0,1,0,0
2016-08-12,0,10,5,3,1,25,32,10,16,7,2,3,0,1,0,0,0,0,0,0,0
2016-08-13,0,14,2,2,5,27,25,11,15,8,1,3,0,0,0,1,0,0,0,0,0
2016-08-14,0,3,4,6,1,25,27,11,17,7,2,2,2,0,0,0,0,0,2,0,0
2016-08-15,0,4,3,7,1,28,37,10,14,7,1,1,1,0,0,0,0,0,0,0,0
2016-08-16,0,4,5,6,2,22,35,8,16,11,3,3,0,0,1,1,0,0,0,1,0
2016-08-17,0,11,2,3,2,25,27,9,19,11,3,3,1,2,0,3,0,0,0,0,0
2016-08-18,0,8,7,6,2,21,27,12,13,11,3,2,0,1,1,3,0,0,1,0,0
2016-08-19,0,10,3,4,3,26,42,9,21,7,2,7,0,2,0,0,0,0,2,0,0
2016-08-20,0,3,3,9,6,26,21,8,12,3,4,3,1,0,0,0,0,0,0,0,0
2016-08-21,0,10,5,3,1,27,35,7,21,4,2,1,0,0,2,2,0,0,0,0,0
2016-08-22,0,11,5,11,2,31,35,5,11,7,5,4,1,0,2,2,0,0,1,0,0
2016-08-23,0,5,5,3,1,31,42,10,19,9,2,3,2,0,1,0,0,0,0,0,0
2016-08-24,0,4,5,5,0,26,20,7,13,9,1,3,1,0,0,1,0,0,1,0,0
2016-08-25,0,5,1,4,2,24,44,10,16,7,0,2,0,2,1,2,0,0,1,0,0
2016-08-26,0,10,3,2,2,25,29,10,7,5,3,1,0,1,1,0,0,0,1,0,0
2016-08-27,0,8,3,4,1,32,39,10,8,5,0,3,0,0,2,1,0,0,0,0,0
2016-08-28,0,15,3,6,5,32,31,8,11,7,4,3,2,0,2,0,0,0,2,0,0
2016-08-29,0,5,3,4,4,25,23,10,16,6,3,3,0,0,0,3,0,0,0,0,0
2016-08-30,0,7,2,2,4,28,27,10,15,7,7,4,2,0,0,4,0,0,0,1,0
2016-08-31,0,5,1,7,0,22,33,9,16,9,3,0,1,1,1,3,0,0,0,0,0
2016-09-01,0,9,5,1,3,30,29,5,12,3,6,2,1,0,1,2,0,0,0,0,0
2016-09-02,0,3,3,5,4,21,30,4,10,7,3,1,2,0,1,0,0,0,1,1,0
2016-09-03,0,10,7,2,2,25,36,10,16,4,3,2,0,0,2,1,0,0,0,0,0
2016-09-04,0,9,0,4,1,22,43,6,12,8,7,3,0,1,0,2,0,0,0,0,0
2016-09-05,0,10,2,7,3,33,22,9,22,7,2,1,0,1,0,1,0,0,0,0,0
