fecha,COVID-19,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,Tumores [Neoplasias],Enfermedades del sistema circulatorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Enfermedades del sistema respiratorio ,Enfermedades del sistema digestivo,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Ciertas enfermedades infecciosas y parasitarias,Enfermedades de la piel y del tejido subcutáneo,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del ojo y sus anexos ,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-05-21,0,18,11,10,3,71,75,15,37,25,8,4,0,3,8,3,0,0,1,0,0
2016-05-22,0,14,5,10,8,78,71,20,19,17,5,5,2,1,5,0,0,0,1,0,0
2016-05-23,0,13,10,12,4,80,86,15,25,29,7,6,0,4,0,6,0,0,6,0,0
2016-05-24,0,20,8,9,5,82,75,15,10,19,4,11,2,3,1,2,0,0,1,0,0
2016-05-25,0,16,10,14,2,88,77,24,25,27,4,7,3,4,2,4,0,0,1,0,0
2016-05-26,0,25,11,4,3,77,70,22,26,15,13,6,2,1,5,2,0,0,0,0,0
2016-05-27,0,20,9,8,3,78,75,12,26,16,10,3,1,5,2,3,0,0,4,0,0
2016-05-28,0,14,7,12,7,76,94,17,25,21,9,7,1,1,2,1,0,0,4,0,0
2016-05-29,0,20,7,13,5,67,84,19,31,31,14,6,3,2,2,6,0,0,2,0,0
2016-05-30,0,21,12,12,6,85,82,12,27,34,8,5,1,0,5,1,0,0,2,0,0
2016-05-31,0,13,12,11,7,90,77,12,26,18,5,8,0,3,0,4,0,0,4,0,0
2016-06-01,0,15,9,9,4,71,80,14,34,27,8,6,0,2,0,7,0,0,3,0,0
2016-06-02,0,16,10,11,3,91,80,16,22,14,7,2,0,1,1,4,0,0,4,0,0
2016-06-03,0,14,9,13,5,71,81,16,32,26,6,3,0,2,2,3,0,0,0,0,0
2016-06-04,0,25,6,9,7,65,84,17,18,25,8,6,0,3,0,2,0,0,4,0,0
2016-06-05,0,27,10,11,2,73,90,16,23,13,8,3,0,3,1,3,0,0,1,1,0
2016-06-06,0,20,8,8,6,74,78,25,35,19,7,2,1,0,0,1,0,0,1,0,0
2016-06-07,0,16,8,10,6,69,101,16,27,29,11,5,0,1,1,4,0,0,3,0,0
2016-06-08,0,17,10,7,9,68,89,26,24,20,16,8,0,0,1,1,0,0,3,0,0
2016-06-09,0,24,16,16,5,88,88,18,26,26,11,11,1,1,2,4,0,0,4,0,0
2016-06-10,0,28,8,7,8,69,77,31,33,20,8,10,1,0,3,1,0,0,2,1,0
2016-06-11,0,28,10,13,7,85,69,19,33,21,13,9,0,0,4,1,0,0,1,0,0
2016-06-12,0,19,11,12,5,84,104,15,31,18,7,6,1,2,2,3,0,0,4,0,0
2016-06-13,0,25,16,10,10,75,101,20,37,17,6,6,0,2,1,1,1,0,2,0,0
2016-06-14,0,15,18,13,4,80,82,23,23,21,7,4,1,1,1,3,0,0,5,0,0
2016-06-15,0,11,8,18,4,67,87,10,30,28,6,3,1,2,1,6,0,0,2,0,0
2016-06-16,0,17,13,14,10,94,72,16,32,24,13,7,0,1,1,3,0,0,3,0,0
2016-06-17,0,12,9,8,6,68,101,28,23,25,9,12,0,0,1,3,0,0,1,0,0
2016-06-18,0,32,6,10,3,66,86,19,33,20,5,6,2,0,4,8,0,0,4,0,0
2016-06-19,0,24,4,12,5,65,102,31,26,18,11,5,1,7,6,0,0,0,0,0,0
2016-06-20,0,14,9,10,6,69,86,26,31,27,8,7,3,2,3,3,0,0,0,0,0
2016-06-21,0,18,12,8,6,88,90,20,37,21,11,8,2,0,5,4,0,0,1,1,0
2016-06-22,0,25,12,15,6,81,104,17,47,29,5,7,2,5,3,7,0,0,2,0,0
2016-06-23,0,20,17,12,1,90,95,20,32,15,19,6,2,0,4,7,0,0,3,0,0
2016-06-24,0,22,11,10,8,82,83,16,35,23,11,7,0,2,1,4,0,0,5,0,0
2016-06-25,0,27,10,13,3,88,83,21,37,17,5,5,3,1,1,3,0,1,2,0,0
2016-06-26,0,29,7,10,5,83,110,17,45,26,10,6,0,0,2,4,0,0,1,0,0
2016-06-27,0,28,9,14,6,71,104,24,49,25,9,9,1,2,1,1,0,0,1,0,0
2016-06-28,0,27,9,9,8,82,85,23,40,22,12,5,2,0,1,3,0,0,2,0,0
2016-06-29,0,21,13,8,10,71,96,26,48,18,8,3,0,0,5,2,0,0,2,0,0
2016-06-30,0,19,9,11,3,78,95,27,37,25,10,3,1,0,2,2,0,0,4,1,0
2016-07-01,0,23,6,8,11,75,101,24,32,29,7,11,0,1,1,2,0,0,1,0,0
2016-07-02,0,20,9,16,10,86,108,19,44,26,9,5,2,0,1,4,0,0,4,1,0
2016-07-03,0,28,12,6,8,89,95,26,32,20,5,6,2,3,5,2,0,0,0,0,0
2016-07-04,0,29,12,14,10,71,99,22,37,19,12,5,0,1,1,3,0,0,1,0,0
2016-07-05,0,10,8,11,8,86,95,22,36,21,14,9,1,2,1,4,0,0,1,0,0
2016-07-06,0,19,14,13,11,57,111,19,26,15,14,8,5,0,2,5,0,0,0,0,0
2016-07-07,0,20,6,13,7,77,102,18,51,28,9,5,0,2,2,2,0,0,0,0,0
2016-07-08,0,25,6,11,5,77,98,23,43,33,7,4,2,1,3,4,0,0,4,0,0
2016-07-09,0,21,12,9,4,86,107,29,40,20,8,5,1,1,0,4,0,0,3,0,0
2016-07-10,0,27,7,15,6,74,106,31,50,20,6,7,3,2,3,1,0,0,2,0,0
2016-07-11,0,26,8,15,7,99,96,22,40,23,10,6,2,1,3,2,0,0,1,0,0
2016-07-12,0,12,13,7,6,67,125,26,34,24,10,6,3,3,0,4,0,0,0,1,0
2016-07-13,0,16,11,13,6,76,99,28,38,36,16,11,1,0,2,3,0,0,2,0,0
2016-07-14,0,37,9,13,7,79,111,23,34,18,5,5,2,0,0,2,0,0,1,0,0
2016-07-15,0,24,11,4,8,74,107,25,36,19,9,9,0,2,2,1,0,0,3,0,0
2016-07-16,0,25,9,13,8,92,107,16,36,26,12,6,2,3,4,2,0,0,2,0,0
2016-07-17,0,33,8,12,6,77,114,25,54,28,11,5,2,1,2,1,0,0,1,0,0
