fecha,Enfermedades del sistema circulatorio ,COVID-19,Enfermedades del sistema respiratorio ,Enfermedades del sistema nervioso central,Enfermedades del sistema digestivo,Trastornos mentales y del comportamiento,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema genitourinario,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas","Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del oÃ­do y de la apÃ³fisis mastoides,Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",CÃ³digos para propÃ³sitos especiales
2016-03-31,65,0,23,6,19,5,14,61,20,7,7,8,1,1,4,1,0,0,0,0,0
2016-04-01,56,0,18,7,14,3,24,65,12,13,10,3,2,1,2,0,0,0,5,0,0
2016-04-02,67,0,21,5,26,5,18,86,11,9,4,5,2,3,0,0,0,0,3,0,0
2016-04-03,69,0,30,10,22,4,34,54,17,6,7,5,1,1,3,0,0,0,0,0,0
2016-04-04,64,0,25,9,24,5,16,67,14,7,5,5,2,3,2,1,0,0,5,1,0
2016-04-05,69,0,17,6,25,4,15,69,11,3,2,6,1,0,4,1,0,0,2,0,0
2016-04-06,70,0,17,1,28,5,19,64,11,9,8,8,0,0,5,1,0,0,3,0,0
2016-04-07,73,0,19,8,28,5,11,82,16,12,7,4,0,1,3,1,0,0,1,0,0
2016-04-08,76,0,28,8,19,3,14,82,17,2,3,6,4,0,4,1,0,0,1,0,0
2016-04-09,67,0,27,13,23,7,19,54,14,6,8,5,1,2,2,1,0,0,0,0,0
2016-04-10,66,0,19,11,28,5,16,71,13,7,12,10,2,1,1,2,0,0,1,0,0
2016-04-11,84,0,22,11,30,1,23,87,15,11,9,7,2,1,2,1,0,0,2,0,0
2016-04-12,74,0,20,11,19,3,17,87,17,8,15,5,1,0,1,2,0,0,3,0,0
2016-04-13,67,0,17,13,17,4,24,65,17,11,10,0,1,0,3,1,0,0,2,0,0
2016-04-14,70,0,19,3,26,3,17,69,16,7,5,6,0,1,6,1,0,0,2,0,0
2016-04-15,62,0,23,5,27,3,13,81,15,7,10,9,4,0,4,3,0,0,2,0,0
2016-04-16,94,0,25,14,19,6,21,79,14,11,5,3,1,0,2,1,0,0,1,0,0
2016-04-17,75,0,18,12,26,4,18,80,19,8,11,9,5,1,1,0,0,0,1,0,0
2016-04-18,79,0,21,7,18,3,20,56,18,6,10,6,3,0,4,2,0,0,2,0,0
2016-04-19,66,0,27,10,19,7,16,82,16,7,14,6,4,1,2,1,0,0,3,0,0
2016-04-20,80,0,16,11,17,8,15,68,13,13,7,6,0,1,1,0,0,0,3,0,0
2016-04-21,67,0,19,12,17,4,13,75,12,7,9,5,1,1,4,0,0,0,2,0,0
2016-04-22,85,0,24,7,18,2,26,84,14,9,15,4,2,1,5,4,0,0,1,0,0
2016-04-23,80,0,25,7,17,5,18,78,17,7,14,8,0,0,5,1,0,0,1,0,0
2016-04-24,77,0,21,12,16,2,22,68,11,4,8,11,1,2,2,3,0,0,2,0,0
2016-04-25,86,0,31,10,27,5,20,72,17,4,11,5,1,1,5,0,0,0,0,0,0
2016-04-26,91,0,27,10,22,5,21,72,18,5,7,6,2,4,2,3,0,0,3,0,0
2016-04-27,78,0,22,9,26,9,25,76,8,8,4,7,0,3,1,0,0,0,1,0,0
2016-04-28,60,0,35,11,19,2,12,80,17,4,5,6,1,0,1,2,0,0,2,1,0
2016-04-29,84,0,24,4,22,7,19,88,21,9,10,4,1,1,3,2,0,0,3,0,0
2016-04-30,73,0,34,7,28,5,25,71,22,9,9,7,1,4,1,1,0,0,1,1,0
