fecha,Enfermedades del sistema circulatorio ,COVID-19,Causas externas de morbilidad y de mortalidad,Tumores [Neoplasias],Enfermedades del sistema nervioso central,Trastornos mentales y del comportamiento,"Enfermedades endocrinas, nutricionales y metabÃ³licas","SÃ­ntomas, signos y hallazgos anormales clÃ­nicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema digestivo,Enfermedades del sistema respiratorio ,Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema genitourinario,"Enfermedades de la sangre y de los Ã³rganos hematopoyÃ©ticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades de la piel y del tejido subcutÃ¡neo,"Malformaciones congÃ©nitas, deformidades y anomalÃ­as cromosÃ³micas",Enfermedades del ojo y sus anexos ,Ciertas afecciones originadas en el perÃ­odo perinatal,"Embarazo, parto y puerperio",nan,Enfermedades del oÃ­do y de la apÃ³fisis mastoides,CÃ³digos para propÃ³sitos especiales
2016-07-22,91,0,24,85,13,11,19,7,19,45,3,11,1,2,0,2,0,1,0,0,0,0
2016-07-23,104,0,29,80,14,6,23,9,28,59,5,15,2,3,4,2,0,2,0,0,0,0
2016-07-24,119,0,24,71,14,6,21,8,21,34,6,11,3,0,2,4,0,1,0,0,0,0
2016-07-25,90,0,25,81,15,7,13,7,17,44,5,17,1,0,3,6,0,1,1,0,0,0
2016-07-26,91,0,20,73,10,9,22,7,17,47,7,10,3,0,2,3,0,4,1,0,0,0
2016-07-27,90,0,21,82,11,5,19,8,25,45,5,8,0,2,3,6,0,1,0,0,0,0
2016-07-28,83,0,15,92,17,7,22,5,22,34,7,6,4,3,2,3,0,1,0,0,0,0
2016-07-29,88,0,15,79,14,6,25,9,18,41,6,11,2,1,2,5,0,3,2,0,0,0
2016-07-30,85,0,17,71,9,6,21,5,24,39,10,10,2,3,2,2,0,5,0,0,0,0
2016-07-31,107,0,32,72,12,7,27,15,19,35,8,12,0,2,1,2,0,2,0,0,0,0
2016-08-01,81,0,21,90,10,5,15,7,26,38,5,12,1,3,1,1,0,1,0,0,0,0
2016-08-02,74,0,12,94,9,6,18,6,18,34,5,12,4,2,0,0,0,2,0,0,0,0
2016-08-03,106,0,10,93,16,7,20,11,15,39,9,12,3,2,2,2,0,1,0,0,0,0
2016-08-04,74,0,13,62,10,2,13,7,26,41,8,11,1,1,3,1,0,0,0,0,0,0
2016-08-05,85,0,19,88,16,7,20,9,31,43,5,13,2,3,2,1,0,3,0,0,0,0
2016-08-06,99,0,25,77,12,7,23,7,26,27,7,9,0,1,2,3,0,3,0,0,0,0
2016-08-07,85,0,19,73,14,3,23,13,27,36,7,9,4,6,2,1,0,1,0,0,0,0
2016-08-08,95,0,30,69,17,5,21,9,16,45,10,11,1,3,1,3,0,0,0,0,0,0
2016-08-09,90,0,13,80,13,4,22,6,18,29,12,3,1,3,0,2,0,1,1,0,0,0
2016-08-10,88,0,19,89,9,4,19,8,21,48,5,8,1,1,4,1,0,0,0,0,0,0
2016-08-11,81,0,24,70,8,4,24,6,19,32,7,4,4,4,1,1,0,5,0,0,0,0
2016-08-12,91,0,19,80,15,6,16,9,23,36,9,12,5,2,0,1,0,1,0,0,0,0
2016-08-13,77,0,30,89,11,7,17,7,25,31,11,8,1,2,1,3,0,0,0,0,0,0
2016-08-14,69,0,23,80,13,2,25,9,24,39,5,6,0,1,3,2,0,3,0,0,0,0
2016-08-15,90,0,21,64,12,3,18,3,18,43,7,11,1,0,1,3,0,1,0,0,0,0
2016-08-16,88,0,20,77,13,3,27,10,23,51,8,13,0,5,0,2,0,3,1,0,0,0
2016-08-17,80,0,27,82,10,6,13,11,24,36,9,11,3,2,2,6,0,1,0,0,0,0
2016-08-18,87,0,22,60,12,6,25,5,21,34,4,13,2,4,1,4,0,2,1,0,0,0
2016-08-19,80,0,20,72,14,6,17,10,26,45,10,7,3,0,1,1,0,3,0,0,0,0
