fecha,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema digestivo,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Trastornos mentales y del comportamiento,COVID-19,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del ojo y sus anexos ,Enfermedades de la piel y del tejido subcutáneo,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,nan,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-07-04,12,99,71,37,22,5,19,29,12,14,1,10,0,3,1,0,0,0,1,0,0,0
2016-07-05,14,95,86,36,22,9,21,10,8,11,2,8,0,4,1,0,1,0,1,0,0,0
2016-07-06,14,111,57,26,19,8,15,19,14,13,0,11,0,5,2,0,5,0,0,0,0,0
2016-07-07,9,102,77,51,18,5,28,20,6,13,2,7,0,2,2,0,0,0,0,0,0,0
2016-07-08,7,98,77,43,23,4,33,25,6,11,1,5,0,4,3,0,2,0,4,0,0,0
2016-07-09,8,107,86,40,29,5,20,21,12,9,1,4,0,4,0,0,1,0,3,0,0,0
2016-07-10,6,106,74,50,31,7,20,27,7,15,2,6,0,1,3,0,3,0,2,0,0,0
2016-07-11,10,96,99,40,22,6,23,26,8,15,1,7,0,2,3,0,2,0,1,0,0,0
2016-07-12,10,125,67,34,26,6,24,12,13,7,3,6,0,4,0,0,3,0,0,0,1,0
2016-07-13,16,99,76,38,28,11,36,16,11,13,0,6,0,3,2,0,1,0,2,0,0,0
2016-07-14,5,111,79,34,23,5,18,37,9,13,0,7,0,2,0,0,2,0,1,0,0,0
2016-07-15,9,107,74,36,25,9,19,24,11,4,2,8,0,1,2,0,0,0,3,0,0,0
2016-07-16,12,107,92,36,16,6,26,25,9,13,3,8,0,2,4,0,2,0,2,0,0,0
2016-07-17,11,114,77,54,25,5,28,33,8,12,1,6,0,1,2,0,2,0,1,0,0,0
2016-07-18,10,101,76,30,37,8,24,23,12,15,3,7,0,5,4,0,1,0,1,0,0,0
2016-07-19,9,97,75,46,28,8,38,22,13,17,1,4,0,3,2,0,2,0,1,0,0,0
2016-07-20,8,122,84,47,24,9,19,14,16,16,5,7,0,4,1,0,2,0,0,0,0,0
2016-07-21,7,99,89,41,26,5,30,21,10,14,2,6,0,3,2,0,1,1,4,0,2,0
2016-07-22,7,91,85,45,19,3,19,24,11,13,1,11,0,2,2,0,0,0,1,0,0,0
2016-07-23,9,104,80,59,23,5,28,29,15,14,2,6,0,2,3,0,4,0,2,0,0,0
2016-07-24,8,119,71,34,21,6,21,24,11,14,3,6,0,4,0,0,2,0,1,0,0,0
2016-07-25,7,90,81,44,13,5,17,25,17,15,1,7,0,6,0,0,3,0,1,0,1,0
2016-07-26,7,91,73,47,22,7,17,20,10,10,3,9,0,3,0,0,2,0,4,0,1,0
2016-07-27,8,90,82,45,19,5,25,21,8,11,0,5,0,6,2,0,3,0,1,0,0,0
2016-07-28,5,83,92,34,22,7,22,15,6,17,4,7,0,3,3,0,2,0,1,0,0,0
2016-07-29,9,88,79,41,25,6,18,15,11,14,2,6,0,5,1,0,2,0,3,0,2,0
2016-07-30,5,85,71,39,21,10,24,17,10,9,2,6,0,2,3,0,2,0,5,0,0,0
2016-07-31,15,107,72,35,27,8,19,32,12,12,0,7,0,2,2,0,1,0,2,0,0,0
2016-08-01,7,81,90,38,15,5,26,21,12,10,1,5,0,1,3,0,1,0,1,0,0,0
2016-08-02,6,74,94,34,18,5,18,12,12,9,4,6,0,0,2,0,0,0,2,0,0,0
2016-08-03,11,106,93,39,20,9,15,10,12,16,3,7,0,2,2,0,2,0,1,0,0,0
2016-08-04,7,74,62,41,13,8,26,13,11,10,1,2,0,1,1,0,3,0,0,0,0,0
2016-08-05,9,85,88,43,20,5,31,19,13,16,2,7,0,1,3,0,2,0,3,0,0,0
2016-08-06,7,99,77,27,23,7,26,25,9,12,0,7,0,3,1,0,2,0,3,0,0,0
2016-08-07,13,85,73,36,23,7,27,19,9,14,4,3,0,1,6,0,2,0,1,0,0,0
2016-08-08,9,95,69,45,21,10,16,30,11,17,1,5,0,3,3,0,1,0,0,0,0,0
2016-08-09,6,90,80,29,22,12,18,13,3,13,1,4,0,2,3,0,0,0,1,0,1,0
2016-08-10,8,88,89,48,19,5,21,19,8,9,1,4,0,1,1,0,4,0,0,0,0,0
2016-08-11,6,81,70,32,24,7,19,24,4,8,4,4,0,1,4,0,1,0,5,0,0,0
2016-08-12,9,91,80,36,16,9,23,19,12,15,5,6,0,1,2,0,0,0,1,0,0,0
2016-08-13,7,77,89,31,17,11,25,30,8,11,1,7,0,3,2,0,1,0,0,0,0,0
2016-08-14,9,69,80,39,25,5,24,23,6,13,0,2,0,2,1,0,3,0,3,0,0,0
2016-08-15,3,90,64,43,18,7,18,21,11,12,1,3,0,3,0,0,1,0,1,0,0,0
2016-08-16,10,88,77,51,27,8,23,20,13,13,0,3,0,2,5,0,0,0,3,0,1,0
2016-08-17,11,80,82,36,13,9,24,27,11,10,3,6,0,6,2,0,2,0,1,0,0,0
2016-08-18,5,87,60,34,25,4,21,22,13,12,2,6,0,4,4,0,1,0,2,0,1,0
2016-08-19,10,80,72,45,17,10,26,20,7,14,3,6,0,1,0,0,1,0,3,0,0,0
2016-08-20,10,69,78,31,19,5,19,18,14,11,0,10,0,5,2,0,1,0,3,0,1,0
2016-08-21,11,90,70,42,16,6,24,27,14,16,2,3,0,5,2,0,0,0,1,0,0,0
2016-08-22,11,85,73,38,17,8,20,28,12,17,0,10,0,3,2,0,1,0,4,0,0,0
2016-08-23,7,101,77,35,19,6,21,11,8,10,2,5,0,2,3,0,2,0,1,0,0,0
2016-08-24,6,66,77,32,22,9,28,17,10,13,1,3,0,1,2,0,4,0,3,0,0,0
2016-08-25,4,93,78,37,22,8,24,17,9,9,4,7,0,4,3,0,1,0,3,0,0,0
2016-08-26,10,84,62,25,21,4,14,16,9,9,1,5,0,5,5,0,2,0,2,0,0,0
