fecha,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",Enfermedades del sistema circulatorio ,Tumores [Neoplasias],Enfermedades del sistema respiratorio ,"Enfermedades endocrinas, nutricionales y metabólicas",Ciertas enfermedades infecciosas y parasitarias,Enfermedades del sistema digestivo,Causas externas de morbilidad y de mortalidad,Enfermedades del sistema genitourinario,Enfermedades del sistema nervioso central,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad ",Trastornos mentales y del comportamiento,COVID-19,"Malformaciones congénitas, deformidades y anomalías cromosómicas",Enfermedades del sistema osteomuscular y del tejido conjuntivo,Enfermedades del ojo y sus anexos ,Enfermedades de la piel y del tejido subcutáneo,Enfermedades del oído y de la apófisis mastoides,Ciertas afecciones originadas en el período perinatal,nan,"Embarazo, parto y puerperio",Códigos para propósitos especiales
2016-06-25,2,40,23,18,5,2,6,9,2,2,1,0,0,1,1,0,0,1,0,0,0,0
2016-06-26,2,45,30,15,6,2,11,4,3,3,0,3,0,0,1,0,0,0,0,0,0,0
2016-06-27,3,37,24,24,7,4,12,8,2,9,1,3,0,0,0,0,0,0,1,0,0,0
2016-06-28,5,30,35,20,8,2,5,11,3,4,0,3,0,0,0,0,1,0,0,0,0,0
2016-06-29,4,44,29,23,13,0,7,8,5,5,0,2,0,1,1,0,0,0,2,0,0,0
2016-06-30,6,33,35,17,9,1,9,7,0,4,0,1,0,0,0,0,0,0,1,0,0,0
2016-07-01,2,43,32,17,15,6,10,8,3,4,0,0,0,1,0,0,0,0,1,0,0,0
2016-07-02,2,56,37,16,9,1,7,8,4,4,0,4,0,1,1,0,1,0,3,0,1,0
2016-07-03,2,37,31,10,11,0,5,4,9,1,1,2,0,0,1,0,1,0,0,0,0,0
2016-07-04,4,35,22,14,11,1,8,11,4,4,0,3,0,0,0,0,0,0,0,0,0,0
2016-07-05,6,32,29,16,8,4,4,1,1,4,2,3,0,2,1,0,1,0,0,0,0,0
2016-07-06,6,44,20,11,6,4,5,5,5,5,0,6,0,1,2,0,1,0,0,0,0,0
2016-07-07,4,35,30,18,8,2,7,4,3,4,0,3,0,2,0,0,0,0,0,0,0,0
2016-07-08,2,33,26,22,9,2,16,12,2,5,0,3,0,1,1,0,2,0,2,0,0,0
2016-07-09,2,35,32,15,12,1,6,7,6,5,0,1,0,2,0,0,0,0,1,0,0,0
2016-07-10,1,42,31,19,18,4,8,8,3,4,0,3,0,0,3,0,2,0,2,0,0,0
2016-07-11,6,44,43,23,10,3,9,6,1,9,0,5,0,1,2,0,0,0,0,0,0,0
2016-07-12,4,58,24,14,11,2,8,4,7,3,2,1,0,2,0,0,1,0,0,0,0,0
2016-07-13,6,43,30,17,12,2,14,3,2,6,0,3,0,3,2,0,0,0,2,0,0,0
2016-07-14,2,45,29,17,6,2,11,11,4,7,0,3,0,1,0,0,1,0,1,0,0,0
2016-07-15,5,36,30,20,12,2,6,6,3,2,1,5,0,0,0,0,0,0,0,0,0,0
2016-07-16,5,47,32,15,8,4,8,7,4,6,1,2,0,0,1,0,2,0,0,0,0,0
2016-07-17,3,50,29,29,11,1,15,9,4,2,0,3,0,0,1,0,2,0,0,0,0,0
2016-07-18,3,37,29,14,16,1,5,9,5,4,3,4,0,1,2,0,1,0,1,0,0,0
2016-07-19,4,40,24,22,12,4,12,6,2,4,0,2,0,2,1,0,2,0,0,0,0,0
2016-07-20,2,50,35,16,10,1,11,3,10,6,0,1,0,2,0,0,0,0,0,0,0,0
2016-07-21,2,34,35,15,13,2,11,8,1,8,1,2,0,3,1,0,0,0,1,0,2,0
2016-07-22,5,42,38,20,9,1,6,10,3,3,0,7,0,0,1,0,0,0,0,0,0,0
2016-07-23,3,43,22,23,5,3,10,11,5,3,1,1,0,1,1,0,1,0,1,0,0,0
2016-07-24,4,49,32,14,3,3,10,9,2,5,0,5,0,3,0,0,2,0,0,0,0,0
2016-07-25,2,29,28,21,5,3,7,12,5,6,0,1,0,2,0,0,1,0,0,0,1,0
2016-07-26,1,33,27,14,5,1,4,7,3,3,1,1,0,1,0,0,1,0,2,0,0,0
2016-07-27,3,35,31,25,11,3,8,4,2,3,0,3,0,2,0,0,1,0,1,0,0,0
2016-07-28,2,25,34,19,8,2,10,7,2,4,3,3,0,3,1,0,1,0,0,0,0,0
2016-07-29,2,39,29,23,9,2,5,8,6,10,0,2,0,2,1,0,1,0,3,0,1,0
2016-07-30,0,34,28,14,7,7,10,6,4,2,1,3,0,0,1,0,0,0,1,0,0,0
2016-07-31,6,42,28,12,12,5,7,14,5,5,0,1,0,0,0,0,1,0,0,0,0,0
2016-08-01,4,35,29,18,4,3,8,5,5,2,1,2,0,1,1,0,1,0,0,0,0,0
2016-08-02,3,32,38,9,5,3,8,4,3,5,2,3,0,0,1,0,0,0,0,0,0,0
2016-08-03,6,47,45,14,11,8,5,2,4,6,1,5,0,2,1,0,0,0,0,0,0,0
2016-08-04,3,32,22,14,6,4,9,5,4,5,0,1,0,0,0,0,2,0,0,0,0,0
2016-08-05,5,29,34,22,14,0,13,3,3,3,1,1,0,1,2,0,0,0,2,0,0,0
2016-08-06,1,50,28,10,13,1,14,8,4,4,0,4,0,1,0,0,1,0,2,0,0,0
2016-08-07,4,34,29,12,6,3,9,8,3,8,1,2,0,0,1,0,1,0,1,0,0,0
2016-08-08,3,35,22,20,7,5,3,11,3,8,0,2,0,2,1,0,1,0,0,0,0,0
2016-08-09,1,33,26,10,7,4,7,3,0,5,1,2,0,1,0,0,0,0,0,0,1,0
2016-08-10,2,34,36,17,7,2,10,6,5,2,0,0,0,0,0,0,1,0,0,0,0,0
2016-08-11,2,32,35,11,8,2,6,7,2,3,2,1,0,0,2,0,0,0,1,0,0,0
2016-08-12,2,32,25,16,10,3,7,10,5,3,1,1,0,0,0,0,0,0,0,0,0,0
2016-08-13,1,25,27,15,11,3,8,14,2,2,0,5,0,1,0,0,0,0,0,0,0,0
2016-08-14,2,27,25,17,11,2,7,3,4,6,0,1,0,0,0,0,2,0,2,0,0,0
2016-08-15,1,37,28,14,10,1,7,4,3,7,0,1,0,0,0,0,1,0,0,0,0,0
2016-08-16,3,35,22,16,8,3,11,4,5,6,0,2,0,1,1,0,0,0,0,0,1,0
2016-08-17,3,27,25,19,9,3,11,11,2,3,2,2,0,3,0,0,1,0,0,0,0,0
2016-08-18,3,27,21,13,12,2,11,8,7,6,1,2,0,3,1,0,0,0,1,0,0,0
2016-08-19,2,42,26,21,9,7,7,10,3,4,2,3,0,0,0,0,0,0,2,0,0,0
2016-08-20,4,21,26,12,8,3,3,3,3,9,0,6,0,0,0,0,1,0,0,0,0,0
2016-08-21,2,35,27,21,7,1,4,10,5,3,0,1,0,2,2,0,0,0,0,0,0,0
2016-08-22,5,35,31,11,5,4,7,11,5,11,0,2,0,2,2,0,1,0,1,0,0,0
2016-08-23,2,42,31,19,10,3,9,5,5,3,0,1,0,0,1,0,2,0,0,0,0,0
